goodsid,title,price,ziying,bimg,simg1,simg2,simg3,simg4,simg5,pinglun,haiwaigou,renqi,xiaoliangtime,time,mingzi,zhongliang
1,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,1234,ziying.png,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,1432,,2,332,0:00:00,来益,0.3
2,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,456,,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,432,haiwaigou.png,3,333,0:00:00,汤臣倍健,1.3
3,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,32412,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,43,,4,334,0:00:00,汤臣倍健,2.3
4,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,212,ziying.png,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,234,haiwaigou.png,5,335,0:00:00,金维他,3.3
5,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,333,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,324,,6,336,0:00:00,来益,4.3
6,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,444,ziying.png,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,433,haiwaigou.png,7,337,0:00:00,汤臣倍健,5.3
7,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,555,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,324,,8,338,0:00:00,汤臣倍健,6.3
8,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,1238,,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,34,haiwaigou.png,9,339,0:00:00,金维他,7.3
9,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,98778,ziying.png,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,34,,10,340,0:00:00,来益,8.3
10,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,5556,,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,34243,,11,341,0:00:00,汤臣倍健,9.3
11,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,45345,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,324423,,12,342,0:00:00,汤臣倍健,10.3
12,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,234523,ziying.png,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,455,,13,343,0:00:00,金维他,11.3
13,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,6645,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,433,haiwaigou.png,14,344,0:00:00,来益,12.3
14,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,465,ziying.png,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,443,,15,345,0:00:00,汤臣倍健,13.3
15,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,4563,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,434,,16,346,0:00:00,汤臣倍健,14.3
16,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,245,ziying.png,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,545,,17,347,0:00:00,金维他,15.3
17,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,4325,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,43,,18,348,0:00:00,来益,16.3
